variant,kappa,train_seed,episode,mu_E_mean,mu_H_mean,C_E_max_raw,C_H_max_raw,C_E_running_signed,C_H_running_signed,dual_history_path
jensen,0.015,0,11,3.857822895050049,0.01448269742541015,0.03994999825954437,0.003100000089034438,0.03850818188353018,0.016081818294796078,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,12,4.221662839253743,0.014375434815883636,0.039969999343156815,0.0017999999690800905,0.038616666880746685,0.014850000103857989,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,13,4.585807164510091,0.014444356691092253,0.03990999981760979,0.005200000014156103,0.03871153868161715,0.014107692404650152,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,14,4.950346787770589,0.014637428987771272,0.0399399995803833,0.012299999594688416,0.038799285888671875,0.013128571517881937,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,15,5.31479533513387,0.014654773473739623,0.0399399995803833,0.0044999998062849045,0.03887400006254514,0.012093333409090216,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,16,5.678787549336751,0.014473568508401513,0.03990999981760979,0.0007999999797903001,0.038938125129789114,0.011387500069758971,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,17,6.043327331542969,0.014454398257657885,0.039980001747608185,0.003100000089034438,0.038996470763402825,0.01062352947979782,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,18,6.407684485117595,0.01484875869937241,0.0399399995803833,0.01119999960064888,0.03904611120621363,0.010144444513975436,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,19,6.771889527638753,0.014980668388307094,0.03996000066399574,0.00570000009611249,0.03909421065136006,0.009642105330529279,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,20,7.136459827423096,0.014740126952528954,0.039980001747608185,0.0003000000142492354,0.03913850020617247,0.009050000064598862,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,21,7.500573476155599,0.0152974346652627,0.03990999981760979,0.009100000374019146,0.039175238282907573,0.008800000064573916,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,22,7.864991664886475,0.015833289874717594,0.039969999343156815,0.008999999612569809,0.039206363768740135,0.00848181820930966,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,23,8.22928778330485,0.015253160614520311,0.039980001747608185,-0.0031999999191612005,0.03923739136561104,0.007873913092265391,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,24,8.593827883402506,0.015175109868869186,0.0399399995803833,0.0031999999191612005,0.039266666707893215,0.007529166563472245,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,25,8.958367347717285,0.015600051172077656,0.03994999825954437,0.007799999788403511,0.039293600022792814,0.007348000025667716,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
