variant,kappa,train_seed,episode,mu_E_mean,mu_H_mean,C_E_max_raw,C_H_max_raw,C_E_running_signed,C_H_running_signed,dual_history_path
jensen,0.015,0,11,0.0386187011996905,0.015587271237745882,0.03994999825954437,0.0044999998062849045,0.038546363738450135,0.017918181944299828,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,12,0.04226501161853472,0.015544822765514254,0.03996000066399574,0.00430000014603138,0.03866000007838011,0.01623333344468847,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,13,0.04590797424316406,0.015710965264588594,0.0399399995803833,0.005799999926239252,0.038753077101248964,0.014769230879699955,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,14,0.04955215627948443,0.015382787957787514,0.03996000066399574,0.0032999999821186066,0.03883357159793377,0.01357142866722175,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,15,0.053199682384729385,0.015660757105797528,0.039980001747608185,0.006300000008195639,0.038906000057856244,0.012760000086079042,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,16,0.05684477835893631,0.01571416025981307,0.039980001747608185,0.004699999932199717,0.038966875057667494,0.01204375008092029,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,17,0.06049139176805814,0.01605739970691502,0.039980001747608185,0.007600000128149986,0.039023529519053066,0.011611764778054375,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,18,0.06413800766070683,0.016459975810721516,0.03994999825954437,0.01080000028014183,0.039075000004635915,0.01118888882532095,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,19,0.06778249144554138,0.016517943190410733,0.039969999343156815,0.007199999876320362,0.03912000005182467,0.010684210463966193,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,20,0.07142758617798488,0.016590972803533076,0.0399399995803833,0.00430000014603138,0.039160500094294545,0.010189999939757399,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,21,0.07507176448901494,0.01683014491572976,0.03996000066399574,0.005900000222027302,0.03919714298986253,0.009733333277316498,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,22,0.07871564229329427,0.017597869224846362,0.039980001747608185,0.011900000274181366,0.039227727461944924,0.009731818141352216,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,23,0.08236134548981984,0.017288405960425735,0.03996000066399574,-0.0003000000142492354,0.03925956542725149,0.009160869524550988,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,24,0.08600643773873647,0.017097159707918762,0.03994999825954437,0.0012000000569969416,0.03928833346193036,0.008620833291691573,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,25,0.08965366085370381,0.01731214076280594,0.039980001747608185,0.004600000102072954,0.039316000193357466,0.00841199996182695,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,26,0.09329753865798314,0.017800526693463326,0.0399399995803833,0.00989999994635582,0.039340000169781536,0.008273076895140829,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
