variant,kappa,train_seed,episode,mu_E_mean,mu_H_mean,C_E_max_raw,C_H_max_raw,C_E_running_signed,C_H_running_signed,dual_history_path
pf,0.03,0,13,2.1906468073527017,0.04785771481692791,0.025690000504255295,0.05510000139474869,0.01927307706612807,0.042246154008003384,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,14,2.345895687739054,0.05134214349091053,0.017650000751018524,0.04769999906420708,0.019135000184178352,0.04192857151584966,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,15,2.5837289492289224,0.05553130768239498,0.02652999944984913,0.05570000037550926,0.019628000135223072,0.04251333350936572,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,16,2.8240270614624023,0.059421963430941104,0.02687999978661537,0.053700000047683716,0.01999062509275973,0.04321250016801059,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,17,3.0955758094787598,0.0642113408073783,0.029890000820159912,0.060499999672174454,0.020561176516553935,0.04385882374994895,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,18,3.3119870026906333,0.0686451554298401,0.023889999836683273,0.06340000033378601,0.020740555599331856,0.04494444467127323,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,19,3.5542325178782144,0.0732314184308052,0.026799999177455902,0.061400000005960464,0.021038421086574857,0.0450315791133203,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,20,3.7478220462799072,0.07738041654229164,0.02246999926865101,0.05420000106096268,0.021109999995678662,0.04467500019818545,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,21,3.9689802328745523,0.08157962262630462,0.024700000882148743,0.053700000047683716,0.021240952380356334,0.04462380973356111,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,22,4.111448923746745,0.08529865965247155,0.01565999910235405,0.04830000177025795,0.020983636379241943,0.044422727416862144,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,23,4.235416889190674,0.08874839879572391,0.014619999565184116,0.04610000178217888,0.020626086984639583,0.04423478278128997,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,24,4.416560808817546,0.09263083823025227,0.020250000059604645,0.05380000174045563,0.020587083340312045,0.04408333357423544,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,25,4.630781332651774,0.09635124430060386,0.023809999227523804,0.05260000005364418,0.020679600015282632,0.043928000181913375,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,26,4.807878017425537,0.10008716881275177,0.020179999992251396,0.04879999905824661,0.02057846155590736,0.04379230780670276,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,27,4.997755209604899,0.10359943956136704,0.021369999274611473,0.048500001430511475,0.020607777767711215,0.04351111128926277,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
